Driver,Team,LapNumber,Stint,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall,IsInLap,IsOutLap,IsSafetyCar,IsFirstLap,IsCleanLap,Position,TeamColor,LapStartSeconds,TrackStatus
PIA,McLaren,35.0,2.0,83.409,27.392,28.529,27.488,HARD,19.0,True,313.0,316.0,314.0,323.0,32.7,45.5,31.487055960259383,1.5974111920518763,0.0,False,False,False,False,True,1.0,#888888,6237.317,1
PIA,McLaren,36.0,2.0,83.746,27.429,28.503,27.814,HARD,20.0,True,316.0,319.0,315.0,323.0,32.60968016133602,45.40968016133602,31.903198386639776,1.3193603226720447,0.0,False,False,False,False,True,1.0,#888888,6320.726,1
PIA,McLaren,37.0,2.0,83.691,27.368,28.649,27.674,HARD,21.0,True,314.0,316.0,314.0,333.0,32.5,45.34025930740259,32.0,1.1701296537012966,0.0,False,False,False,False,True,1.0,#888888,6404.472,1
PIA,McLaren,38.0,2.0,88.125,27.56,28.596,31.969,HARD,22.0,True,315.0,318.0,0.0,325.0,32.5,45.2,31.306424189891995,1.3774303240432013,0.0,True,False,False,False,False,1.0,#888888,6488.163,1
PIA,McLaren,39.0,3.0,103.438,47.532,28.366,27.54,HARD,1.0,True,324.0,312.0,315.0,286.0,32.5,44.98375437427096,31.0,1.4487368771871343,0.0,False,True,False,False,False,3.0,#888888,6576.288,1
PIA,McLaren,40.0,3.0,82.264,27.149,27.897,27.218,HARD,2.0,True,311.0,316.0,315.0,323.0,32.5,44.9,31.88609134687484,1.2569543265625802,0.0,False,False,False,False,True,3.0,#888888,6679.726,1
PIA,McLaren,41.0,3.0,82.066,27.207,27.79,27.069,HARD,3.0,True,314.0,320.0,318.0,321.0,32.5,44.7,32.0,1.5257250966795572,0.0,False,False,False,False,True,3.0,#888888,6761.99,1
PIA,McLaren,42.0,3.0,82.331,27.245,27.932,27.154,HARD,4.0,True,315.0,318.0,315.0,325.0,32.43749562551036,44.57499125102071,32.0,1.412486876531072,0.0,False,False,False,False,True,3.0,#888888,6844.056,1
PIA,McLaren,43.0,3.0,82.092,27.087,27.8,27.205,HARD,5.0,True,316.0,321.0,318.0,325.0,32.499693409980836,44.99846704990419,32.0,1.5990802299425135,0.0,False,False,False,False,True,3.0,#888888,6926.387,1
PIA,McLaren,44.0,3.0,82.628,27.098,28.121,27.409,HARD,6.0,True,316.0,322.0,319.0,339.0,32.46345625114559,44.9,32.0,1.246174995417663,0.0,False,False,False,False,True,3.0,#888888,7008.479,1
PIA,McLaren,45.0,3.0,83.675,27.217,28.785,27.673,HARD,7.0,True,332.0,343.0,309.0,342.0,32.4,44.67722544508902,32.0,1.5,0.0,False,False,False,False,True,2.0,#888888,7091.107,1
PIA,McLaren,46.0,3.0,82.537,27.366,27.964,27.207,HARD,8.0,True,313.0,317.0,315.0,327.0,32.3,44.6,32.86295753050204,1.5588872591506109,0.0,False,False,False,False,True,2.0,#888888,7174.782,1
PIA,McLaren,47.0,3.0,82.253,27.271,27.856,27.126,HARD,9.0,True,312.0,315.0,315.0,320.0,32.35127764905906,44.49744470188188,32.0,1.3,0.0,False,False,False,False,True,2.0,#888888,7257.319,1
PIA,McLaren,48.0,3.0,82.725,27.626,27.897,27.202,HARD,10.0,True,314.0,317.0,317.0,326.0,32.4,44.223265503391495,32.0,1.5651017449127564,0.0,False,False,False,False,True,2.0,#888888,7339.572,1
PIA,McLaren,49.0,3.0,82.945,27.245,27.984,27.716,HARD,11.0,True,315.0,331.0,317.0,326.0,32.3,44.2,32.26222103701727,1.6164452740879094,0.0,False,False,False,False,True,2.0,#888888,7422.297,1
PIA,McLaren,50.0,3.0,82.586,27.128,28.205,27.253,HARD,12.0,True,316.0,316.0,316.0,328.0,32.3,44.135528552855284,32.35528552855285,1.4223572357235748,0.0,False,False,False,False,True,2.0,#888888,7505.242,1
PIA,McLaren,51.0,3.0,82.424,27.313,27.965,27.146,HARD,13.0,True,313.0,315.0,316.0,321.0,32.3,44.1,32.021056489363474,1.5915774042546094,0.0,False,False,False,False,True,2.0,#888888,7587.828,1
PIA,McLaren,52.0,3.0,81.948,27.116,27.725,27.107,HARD,14.0,True,318.0,320.0,316.0,334.0,32.26058278631169,44.02116557262337,33.0,1.2788344273766306,0.0,False,False,False,False,True,2.0,#888888,7670.252,1
PIA,McLaren,53.0,3.0,81.943,27.108,27.803,27.032,HARD,15.0,True,316.0,320.0,317.0,328.0,32.2,43.82404272336455,32.240427233645484,1.6278718299063548,0.0,False,False,False,False,True,2.0,#888888,7752.2,1
NOR,McLaren,1.0,1.0,88.971,0.0,31.051,28.624,MEDIUM,1.0,True,319.0,312.0,312.0,285.0,33.8,51.539250716618895,32.59812679154723,2.0794380374641688,0.0,False,False,False,True,False,3.0,#888888,3350.494,1
NOR,McLaren,2.0,1.0,85.458,27.676,29.408,28.374,MEDIUM,2.0,True,309.0,332.0,313.0,339.0,33.888885000583244,50.58891999533403,31.111149994167544,1.4555749970837712,0.0,False,False,False,False,True,3.0,#888888,3439.723,1
NOR,McLaren,3.0,1.0,85.11,27.513,29.381,28.216,MEDIUM,3.0,True,313.0,323.0,312.0,327.0,33.768671545501526,50.46265690899695,30.0,1.2012552719755973,0.0,False,False,False,False,True,3.0,#888888,3525.181,1
NOR,McLaren,4.0,1.0,85.168,27.638,29.468,28.062,MEDIUM,4.0,True,312.0,315.0,312.0,323.0,33.7,50.6,30.73183575523264,2.0072656979069436,0.0,False,False,False,False,True,3.0,#888888,3610.291,1
NOR,McLaren,5.0,1.0,84.674,27.524,29.143,28.007,MEDIUM,5.0,True,314.0,317.0,313.0,322.0,33.7,50.68486752207966,30.15132477920346,2.224337610398269,0.0,False,False,False,False,True,3.0,#888888,3695.459,1
NOR,McLaren,6.0,1.0,84.768,27.75,29.004,28.014,MEDIUM,6.0,True,314.0,320.0,313.0,319.0,33.58752978819138,50.37505957638276,31.0,1.9124702118086219,0.0,False,False,False,False,True,3.0,#888888,3780.133,1
